City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
171,Saint-Joseph,RE,-21.3667,55.6167,77.38,79,83,8.84,broken clouds
172,Aksu,CN,41.1231,80.2644,24.96,23,100,1.95,overcast clouds
173,Brawley,US,32.9787,-115.5303,57.42,72,0,5.75,clear sky
174,Coron,PH,11.9986,120.2043,86.92,61,100,9.1,overcast clouds
175,Chumikan,RU,54.7183,135.315,-12.01,78,63,22.19,broken clouds
176,Dvinskoy,RU,62.1535,45.1175,8.44,96,73,2.98,broken clouds
177,Jalu,LY,29.0331,21.5482,55.85,69,54,7.49,broken clouds
178,Havoysund,NO,70.9963,24.6622,28.63,77,26,8.86,scattered clouds
179,Ahipara,NZ,-35.1667,173.1667,65.5,62,3,8.97,clear sky
180,Manokwari,ID,-0.8667,134.0833,79.59,80,99,2.06,overcast clouds
181,Avarua,CK,-21.2078,-159.775,82.45,83,100,6.91,overcast clouds
182,Qaanaaq,GL,77.484,-69.3632,-0.83,88,100,4.09,overcast clouds
183,Matara,LK,5.9485,80.5353,80.78,75,98,5.14,overcast clouds
184,Yishui,CN,35.7847,118.6281,35.55,31,100,10.47,overcast clouds
185,Flin Flon,CA,54.7682,-101.865,2.59,97,100,5.82,overcast clouds
186,Rossland,CA,49.0831,-117.8022,4.96,97,55,3.74,broken clouds
187,Zuwarah,LY,32.9312,12.082,62.73,33,0,6.62,clear sky
188,Atambua,ID,-9.1061,124.8925,85.96,51,47,4.88,scattered clouds
189,Gayeri,BF,12.6497,0.4931,75.69,27,58,6.13,broken clouds
190,Keti Bandar,PK,24.1447,67.4497,73.74,27,0,10.92,clear sky
191,Chifeng,CN,42.2683,118.9636,18.86,25,3,11.61,clear sky
192,Medina,SA,24.4686,39.6142,70.23,60,0,0.0,clear sky
193,Batticaloa,LK,7.7102,81.6924,80.67,76,75,4.45,broken clouds
194,Bardiyah,LY,31.7561,25.0865,60.94,75,0,3.89,clear sky
195,Tilichiki,RU,60.4667,166.1,-0.29,88,12,6.93,few clouds
196,Yellowknife,CA,62.456,-114.3525,28.92,100,100,20.71,light snow
197,Faanui,PF,-16.4833,-151.75,80.89,77,19,17.9,few clouds
198,Saint-Pierre,RE,-21.3393,55.4781,79.92,73,20,17.27,few clouds
199,Xining,CN,36.6167,101.7667,24.8,37,100,1.99,overcast clouds
200,Glogow,PL,51.6636,16.0845,34.65,84,100,7.27,overcast clouds
